微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J72QPlxtR,【三文鱼被证明“清白” 但海鲜商户们已经亏惨了】据国家卫健委专家组通报，目前没有证据表明三文鱼是新冠病毒的宿主或者中间宿主。即便如此，涉及到的海鲜水产商户们却已损失惨重。北京大量海鲜水产市场陆续被封闭，不少日料门店和大型卖场直接下架三文鱼产品。商贩表示，海鲜类产品完全无人光顾，现在是干一天赔一天。记者走访永旺、永辉超市等水产区域，工作人员不断强调虾蟹类均为国产货，但都无人问津。http://t.cn/A6LVlKMg [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/75b52ed2ly1gfv7k6mskoj20go0b4aif.jpg,http://ww2.sinaimg.cn/large/75b52ed2ly1gfv7k6nv1aj20g40c3di3.jpg",无,无,2020-06-17 13:12,微博 weibo.com,106,45,36
J6Us74qjg,【小学生坠亡后多名家长群内点赞老师 官方:此举不妥】江苏常州。一名五年级女生作文课后跳楼坠亡。事后，家长群中多名家长为老师点赞。官方称，点赞行为不妥，正和家属协商补偿事宜。目前，涉事教师已停课。澎湃新闻的微博视频 小学生坠亡后多名家长群内点赞老师 官方:此举不妥  ,,无,无,无,2020-06-16 15:49,微博 weibo.com,148,13,47
J6LD55Ien,【女童作文被老师批“负能量”后跳楼 家长群“站队”老师排队点赞】江苏常州，小学女生缪可馨在上完作文课后，跑出教室翻越栏杆坠楼身亡。其母亲质疑，“《三打白骨精》读后感”被班主任批评太过负能量，“作文被删了改，改了删，之后重新写却继续被删”，或与孩子的死有关联。悲剧发生后，另有一组疑似家长群里的聊天记录截图在网络热传，家长纷纷点赞、力挺涉事老师。对此，你怎么看？http://t.cn/A6LbErYR [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/75b52ed2ly1gft3jkil4oj20c00glwfo.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gft3jkn7nhj20ek048q35.jpg,http://ww1.sinaimg.cn/large/75b52ed2ly1gft3jkmyv8j20dc27yjtz.jpg,http://ww2.sinaimg.cn/large/75b52ed2ly1gft3jkoja9j20pg0iowgf.jpg",无,无,2020-06-15 17:21,微博 weibo.com,4555,353,138
J6L5LfA1Z,【山东冠县冒名顶替他人上大学女子:比分数线低243分】记者从山东省聊城市冠县的联合调查组获悉，冒名顶替他人上大学的女子陈某某，高考分数为303分（文科），比当年文科类专科分数线低243分；被顶替者高考分数为546分（理工科），超出理科类专科分数线27分，考上了山东理工大学，但录取通知书却被陈某某获取。目前该事件还在进一步调查中。http://t.cn/A6L4kp6h [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/75b52ed2ly1gft168fahej21420u0aq0.jpg,http://ww4.sinaimg.cn/large/75b52ed2ly1gft168hz65j216c0u0tmc.jpg,http://ww3.sinaimg.cn/large/75b52ed2ly1gft168g8huj20w30tzdkn.jpg",无,无,2020-06-15 15:59,微博 weibo.com,173,38,75
J6lyW3TXd,#深夜饭馆#【肉末茄子】家常下饭菜肉末茄子来也！不用油炸，两勺油就搞定，清爽健康。用鱼香汁为底味，稍作调整，加上豆瓣酱和小米辣，融合肉末和茄子的香味，超级下饭好吃。好做，省时间，加热不破坏味道，适合上班带饭。美食家大雄的微博视频  ,,无,无,无,2020-06-12 23:00,烹饪教程 · 视频社区,55,48,8
J6loXzdPS,弹幕里说“我好像没有那么害怕变老了”，可爱其实不是年轻人的专权，就像性感也不一定是成年人的词汇，生命长河漫漫，每个年龄都可以活出不同的姿态。而真正重要的，是扎根初心的不懈努力，只要有底气就能掌握生活。#乘风破浪的姐姐# 网易新闻客户端的微博视频  ,,无,无,无,2020-06-12 22:35,无,160,38,7
J6kcQ3v6Z,【石家庄#女子遛狗不栓绳被民警收缴后大哭#：我有绳子  】近日，有网友爆料，石家庄执法人员在街上巡逻时，发现一名女子遛狗不栓绳。执法人员遂依法将狗收走，结果女子当场躺地哭喊求饶。据悉，按照石家庄养犬条例，对于上街遛狗不栓绳的情况要进行罚款，还会将犬只暂扣在收容所，行政处罚后返还给主人。#女子遛狗不栓绳被罚后哭喊求饶#  @易视频 http://t.cn/A6LzxcsW ,,无,无,无,2020-06-12 19:32,无,391,24,98
J6ia5aGHq,【学生曝#高校发放毕业证需学生缴纳8700元#，收3年学费只教学1年半】近日，@西安铁道职业学校 被学生爆料存在诈骗虚假信息：明明是两年制学校，收取了三年学费，却让上了一年半的学生离开学校，就是为了新生来有地方住；之前入学时官网宣传页说是全日制，而现在是脱产，很影响学生就业；就业时学校又以单位名义要求学生交培训费，可单位并不知情。学生称：现在这一届好多学生的毕业证没有发，并且要想拿到毕业证还得交8700元。联系那些负责人学校老师不做回答，却把唯一的班级群都解散了。据了解，现在该学校已经有百余名学生进行维权。对此，拍客多次联系校方，皆未得到回应。#学生曝高校收3年学费只教1年半# @易视频 http://t.cn/A6L71RV3 ,,无,无,无,2020-06-12 14:20,无,80,13,14
J6gRxn1Ab,【农家女被冒名顶替上大学 顶替者已被停职】6月10日，山东冠县“农家女被冒名顶替上大学”一事，县委、县政府第一时间责成相关部门成立联合调查组对此事开展调查，并与举报人见面。情况通报如下：顶替者陈某某，系我县某街道办事处工作人员，目前已被停职，事件涉及详细信息正在进一步调查中。据此前报道，高考“落榜”16年后，冠县人陈秋媛(化名)打算报考成人教育学校，来填补心中的遗憾。然而，在信息填报时她才发现，“陈秋媛”已经在山东理工大学“就读”并顺利毕业，而学信网上的“陈秋媛”，照片栏上是另外一个陌生女孩的头像。原来，在16年前，她被另外一个“陈秋媛”冒名顶替上了大学。http://t.cn/A6L7i6BZ 原图 ,,http://wx1.sinaimg.cn/large/75b52ed2ly1gfpbptosavj20ez0bpacm.jpg,无,无,2020-06-12 11:02,微博 weibo.com,69,11,27
J6c8rqMGX,#深夜饭馆#最近地摊经济火了，烤面筋、狼牙土豆、烤串、关东煮、章鱼小丸子、煎饼果子、脆皮年糕、蛋烘糕、臭豆腐…这些“地摊美食”，你最喜欢哪一种？ 吃饱了记得夸我的微博视频  ,,无,无,无,2020-06-11 23:00,美食侦探 · 视频社区,36,18,12
